Mean Date,Firm,L/NP Primary,ALP Primary,GRN Primary,ONP Primary,OTH Primary,ALP 2PP
15 May 2019,Newspoll,38,37,9,3,13,51.50
14 May 2019,YouGov-Galaxy,39,37,9,3,12,51
13 May 2019,Ipsos,39,33,13,4,11,51
12 May 2019,Essential,38.50,36.20,9.10,6.60,9.60,51.50
11 May 2019,Roy Morgan,38.50,35.50,10,4,12,52
10 May 2019,Newspoll,39,37,9,4,11,51
4 May 2019,Essential,38,34,12,7,9,52
4 May 2019,Roy Morgan,38.50,34,11,4,12.5,51
3 May 2019,Newspoll,38,36,9,5,12,51
2 May 2019,Ipsos,36,33,14,5,12,52
27 Apr 2019,Essential,39,37,9,6,9,51
27 Apr 2019,Roy Morgan,39.50,36,9.50,2.50,12.5,51
27 Apr 2019,Newspoll,38,37,9,4,12,51
24 Apr 2019,Galaxy,37,37,9,4,13,52
20 Apr 2019,Roy Morgan,39,35.50,9.50,4.50,11.5[l],51
12 Apr 2019,Newspoll,39,39,9,4,9,52